cruise_name,code,ship,link_to_cruise,departure_date,duration,price,PolarInside,PolarOutside,ArcticSuperior,ExpeditionSuite
Norwegian Coastal Expeditions - Discovery Voyage ,CENEXPBKT,MS Nordlys,https://www.hurtigruten.com/destinations/norway/norwegian-coastal-expeditions-bergen-kirkenes-trondheim/,2017-07-24,11 Days,8319 €,,,,8319 €
Cultural Sailings: Southbound,CENCULKB18,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2018-05-30,6 Days,1500 €,1500 €,1747 €,2273 €,3311 €
Cultural Sailings: Southbound,CENCULKB18,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2018-05-25,6 Days,1500 €,1500 €,1747 €,2273 €,3311 €
Norwegian Coastal Expeditions: Northbound,CENEXPBK,MS Nordlys,https://www.hurtigruten.com/destinations/norway/norwegian-coastal-expeditions-bergen-kirkenes/,2017-08-04,7 Days,5679 €,,,,5679 €
Norwegian Coastal Expeditions: Northbound,CENEXPBK,MS Richard With,https://www.hurtigruten.com/destinations/norway/norwegian-coastal-expeditions-bergen-kirkenes/,2017-08-09,7 Days,4663 €,,,,4663 €
Cultural Sailings: Southbound,CENCULKB18,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2018-05-14,6 Days,1244 €,1244 €,1444 €,1893 €,3156 €
Cultural Sailings: Southbound,CENCULKB18,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2018-05-08,6 Days,1244 €,1244 €,1444 €,1893 €,3156 €
Astronomy Voyage,UKHRAS19,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/astronomy-voyage/,2019-03-01,12 Days,2107 €,2107 €,2290 €,2584 €,
Astronomy Voyage,UKHRAS19,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/astronomy-voyage/,2019-03-28,12 Days,2107 €,2107 €,2290 €,2584 €,
Astronomy Voyage,UKHRAS17,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/astronomy-voyage/,2017-10-16,12 Days,2128 €,2128 €,2320 €,,
Astronomy Voyage,UKHRAS17,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/astronomy-voyage/,2017-11-13,12 Days,1797 €,1797 €,1955 €,,
Astronomy Voyage,UKHRAS17,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/astronomy-voyage/,2017-11-07,12 Days,1760 €,1760 €,1913 €,2434 €,
Astronomy Voyage,UKHRAS19,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/astronomy-voyage/,2018-10-31,12 Days,1969 €,1969 €,2138 €,2469 €,
Astronomy Voyage,UKHRAS19,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/astronomy-voyage/,2018-12-03,12 Days,1964 €,,1964 €,2334 €,
Astronomy Voyage,UKHRAS17,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/astronomy-voyage/,2018-01-12,12 Days,1750 €,1750 €,1902 €,,
Astronomy Voyage,UKHRAS19,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/astronomy-voyage/,2018-10-03,12 Days,2096 €,2096 €,2278 €,2611 €,
Astronomy Voyage,UKHRAS17,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/astronomy-voyage/,2018-02-14,12 Days,1972 €,1972 €,2148 €,,
Astronomy Voyage,UKHRAS17,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/astronomy-voyage/,2018-03-08,12 Days,1930 €,1930 €,2101 €,2375 €,
Astronomy Voyage,UKHRAS19,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/astronomy-voyage/,2019-02-01,12 Days,2107 €,2107 €,2290 €,2584 €,
Astronomy Voyage,UKHRAS19,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/astronomy-voyage/,2018-12-30,12 Days,2341 €,2341 €,2548 €,2928 €,
"Exploration of the Caribbean’s Cayes, Coves and Reefs - Northbound",CENFRCAR1901,MS Fram,https://www.hurtigruten.com/destinations/caribbean-and-central-america/exploration-of-the-caribbeans-cayes-coves-and-reefs-northbound/,2019-04-03,15 Days,2929 €,2929 €,3369 €,3896 €,4892 €
"The Ultimate Expedition to Antarctica, Falklands and South Georgia",CENFRANT1901,MS Fram,https://www.hurtigruten.com/destinations/antarctica/the-ultimate-expedition-to-antarctica-falklands-and-south-georgia/,2019-01-17,23 Days,10631 €,10631 €,12578 €,13730 €,16922 €
Journey Across the Atlantic,CENMSCRO1802,MS Midnatsol,https://www.hurtigruten.com/destinations/crossing-the-atlantic/journey-across-atlantic-2018/,2018-09-27,12 Days,880 €,880 €,907 €,1034 €,1299 €
A Taste of the Arctic: Southbound ,UK8HRTATB,MS Nordnorge,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-southbound/,2018-03-03,5 Days,550 €,550 €,609 €,766 €,
"The Ultimate Expedition to Antarctica, Falklands and South Georgia",CENFRANT1803,MS Fram,https://www.hurtigruten.com/destinations/antarctica/the-ultimate-expedition-to-antarctica-falklands-and-south-georgia/,2018-12-27,23 Days,10631 €,10631 €,12578 €,13730 €,16922 €
"The Ultimate Expedition to Antarctica, Falklands and South Georgia",CENFRANT1902,MS Fram,https://www.hurtigruten.com/destinations/antarctica/the-ultimate-expedition-to-antarctica-falklands-and-south-georgia/,2019-02-07,23 Days,12578 €,,12578 €,13730 €,16922 €
"Exploration of the Caribbean’s Cayes, Coves and Reefs - Northbound",CENFRCAR1801,MS Fram,https://www.hurtigruten.com/destinations/caribbean-and-central-america/exploration-of-the-caribbeans-cayes-coves-and-reefs-northbound/,2018-03-25,15 Days,2929 €,2929 €,3537 €,3896 €,4892 €
A Taste of the Arctic: Southbound ,UK8HRTATB,MS Kong Harald,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-southbound/,2017-12-18,5 Days,550 €,550 €,609 €,766 €,
A Taste of the Arctic: Southbound ,UK8HRTATB,MS Nordnorge,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-southbound/,2017-12-16,5 Days,609 €,,609 €,766 €,
A Taste of the Arctic: Southbound ,UK8HRTATB,MS Nordkapp,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-southbound/,2018-02-26,5 Days,550 €,550 €,609 €,766 €,
A Taste of the Arctic: Southbound ,UK8HRTATB,MS Kong Harald,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-southbound/,2018-02-22,5 Days,550 €,550 €,609 €,766 €,
A Taste of the Arctic: Southbound ,UK8HRTATB,MS Nordnorge,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-southbound/,2018-02-20,5 Days,550 €,550 €,609 €,766 €,
A Taste of the Arctic: Southbound ,UK8HRTATB,MS Nordlys,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-southbound/,2018-02-25,5 Days,550 €,550 €,609 €,766 €,
A Taste of the Arctic: Southbound ,UK8HRTATB,MS Vesterålen,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-southbound/,2018-03-01,5 Days,550 €,550 €,609 €,,
A Taste of the Arctic: Southbound ,UK8HRTATB,MS Polarlys,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-southbound/,2017-12-13,5 Days,550 €,550 €,609 €,766 €,
The Frozen Land of the Penguins,CENFRANT1701,MS Fram,https://www.hurtigruten.com/destinations/antarctica/the-frozen-land-of-the-penguins/,2018-01-13,14 Days,7928 €,7928 €,9276 €,10286 €,12650 €
White Christmas in Antarctica,CENFRANT1703,MS Fram,https://www.hurtigruten.com/destinations/antarctica/white-christmas-in-antarctica/,2017-12-14,20 Days,10938 €,10938 €,13029 €,14507 €,
The Frozen Land of the Penguins,CENFRANT1701,MS Fram,https://www.hurtigruten.com/destinations/antarctica/the-frozen-land-of-the-penguins/,2018-01-01,14 Days,8087 €,,8087 €,9728 €,14666 €
In the Wake of the Buccaneers,CENFRWOR1703,MS Fram,https://www.hurtigruten.com/destinations/crossing-the-atlantic/in-the-wake-of-the-buccaneers/,2017-09-29,17 Days,3136 €,3136 €,3460 €,4284 €,5398 €
The Frozen Land of the Penguins,CENFRANT1701,MS Fram,https://www.hurtigruten.com/destinations/antarctica/the-frozen-land-of-the-penguins/,2017-11-14,14 Days,7928 €,7928 €,,,
"Exploration of the Caribbean’s Cays, Coves and Reefs - Southbound",CENFRCAR1804,MS Fram,https://www.hurtigruten.com/destinations/caribbean-and-central-america/exploration-of-the-caribbeans-cays-coves-and-reefs-southbound/,2018-10-20,16 Days,3095 €,3095 €,3559 €,4116 €,5168 €
"The Legendary Magellan, Chilean Fjords and Antarctica",CENMSANT1704,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/the-legendary-magellan-chilean-fjords-and-antarctica/,2018-01-02,18 Days,7398 €,7398 €,7689 €,,
"The Ultimate Expedition to Antarctica, Falklands and South Georgia",CENFRANT1802,MS Fram,https://www.hurtigruten.com/destinations/antarctica/the-ultimate-expedition-to-antarctica-falklands-and-south-georgia/,2018-12-06,23 Days,10631 €,10631 €,12040 €,13730 €,16922 €
"The Legendary Magellan, Chilean Fjords and Antarctica",CENMSANT1704,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/the-legendary-magellan-chilean-fjords-and-antarctica/,2017-12-17,18 Days,7650 €,7650 €,8036 €,8972 €,13745 €
The Ultimate Antarctica Experience,CENFRANT1702,MS Fram,https://www.hurtigruten.com/destinations/antarctica/the-ultimate-antarctica-experience/,2017-11-26,20 Days,10048 €,10048 €,11947 €,13148 €,16436 €
Arctic Wonders,UK8HRAW1,MS Nordlys,https://www.hurtigruten.com/destinations/norway/arctic-wonders/,2018-02-07,8 Days,1381 €,1381 €,1480 €,1641 €,
Arctic Wonders,UK8HRAW1,MS Kong Harald,https://www.hurtigruten.com/destinations/norway/arctic-wonders/,2018-01-24,8 Days,1293 €,1293 €,1385 €,1554 €,
Arctic Wonders,UK8HRAW1,MS Nordnorge,https://www.hurtigruten.com/destinations/norway/arctic-wonders/,2018-01-22,8 Days,1293 €,1293 €,1385 €,1554 €,
Arctic Wonders,UK8HRAW1,MS Nordnorge,https://www.hurtigruten.com/destinations/norway/arctic-wonders/,2018-02-02,8 Days,1381 €,1381 €,1480 €,1641 €,
Arctic Wonders,UK8HRAW1,MS Nordkapp,https://www.hurtigruten.com/destinations/norway/arctic-wonders/,2018-01-28,8 Days,1293 €,1293 €,1385 €,1554 €,2077 €
Arctic Wonders,UK8HRAW1,MS Nordnorge,https://www.hurtigruten.com/destinations/norway/arctic-wonders/,2018-01-11,8 Days,1293 €,1293 €,1385 €,1554 €,
Arctic Wonders,UK8HRAW1,MS Polarlys,https://www.hurtigruten.com/destinations/norway/arctic-wonders/,2018-01-19,8 Days,1385 €,,1385 €,1554 €,
Arctic Wonders,UK8HRAW1,MS Nordlys,https://www.hurtigruten.com/destinations/norway/arctic-wonders/,2018-01-16,8 Days,1293 €,1293 €,1385 €,1554 €,
Arctic Wonders,UK8HRAW1,MS Richard With,https://www.hurtigruten.com/destinations/norway/arctic-wonders/,2018-01-10,8 Days,1293 €,1293 €,1385 €,1554 €,
Cultural Contrasts - Through the North Atlantic to Africa ,CENMSEUR1702,MS Midnatsol,https://www.hurtigruten.com/destinations/europe/cultural-contrasts-through-the-north-atlantic-to-africa/,2017-09-13,11 Days,2421 €,2421 €,2531 €,2903 €,4582 €
Journey Across the Atlantic,CENMSWOR1704A,MS Midnatsol,https://www.hurtigruten.com/destinations/crossing-the-atlantic/journey-across-atlantic/,2017-10-06,18 Days,1360 €,1360 €,1401 €,1606 €,2013 €
Atlantic Island Exploration - Northbound,CENMSWOR1703A,MS Midnatsol,https://www.hurtigruten.com/destinations/europe/atlantic-island-exploration-northbound/,2017-09-23,14 Days,2390 €,2390 €,2460 €,2820 €,4422 €
Arctic Wonders,UK8HRAW1,MS Nordlys,https://www.hurtigruten.com/destinations/norway/arctic-wonders/,2018-01-05,8 Days,1293 €,1293 €,1385 €,1554 €,2077 €
Southern Hemisphere Adventure to Antarctica - Southbound,CENMSANT1801,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/southern-hemisphere-adventure-to-antarctica-southbound/,2018-10-22,17 Days,5814 €,5814 €,5973 €,6743 €,8339 €
Southern Hemisphere Adventure to Antarctica -  Northbound,CENMSANT1906,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/southern-hemisphere-adventure-to-antarctica-northbound/,2019-02-26,17 Days,5450 €,5450 €,5591 €,6274 €,7690 €
Southern Hemisphere Adventure - South America and Antarctica,CENMSANT1706,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/southern-hemisphere-adventure-south-america-and-antarctica/,2018-02-26,17 Days,7061 €,7061 €,7354 €,8251 €,12818 €
"Penguins, Patagonia and Poetry",CENFRANT1705,MS Fram,https://www.hurtigruten.com/destinations/antarctica/penguins-patagonia-and-poetry/,2018-02-22,18 Days,9988 €,,9988 €,11122 €,
Patagonia to Antarctica expedition - Northbound,CENFRANT1903,MS Fram,https://www.hurtigruten.com/destinations/antarctica/patagonia-to-antarctica-expedition-northbound/,2019-02-28,20 Days,8363 €,8363 €,9944 €,10879 €,13471 €
Patagonia to Antarctica expedition - Southbound,CENFRANT1801,MS Fram,https://www.hurtigruten.com/destinations/antarctica/patagonia-to-antarctica-expedition-southbound/,2018-11-19,19 Days,8364 €,8364 €,9994 €,10958 €,13630 €
Adventure  to Antarctica - Highlights of the Frozen Continent,CENMSANT1804,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/adventure-to-antarctica-highlights-of-the-frozen-continent/,2018-11-28,13 Days,5000 €,5000 €,5112 €,5657 €,6787 €
Discover Patagonia and Antarctica,CENMSANT1703,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/discover-patagonia-and-antarctica/,2017-12-03,16 Days,6596 €,6596 €,6851 €,7630 €,9235 €
Adventure  to Antarctica - Highlights of the Frozen Continent,CENMSANT1905,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/adventure-to-antarctica-highlights-of-the-frozen-continent/,2019-02-15,13 Days,5000 €,5000 €,5112 €,5657 €,6787 €
Adventure  to Antarctica - Highlights of the Frozen Continent,CENMSANT1903,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/adventure-to-antarctica-highlights-of-the-frozen-continent/,2019-01-24,13 Days,5000 €,5000 €,5112 €,5657 €,6787 €
"Antarctica, the Polar Circle and Beyond",CENAMANT1902,MS Roald Amundsen,https://www.hurtigruten.com/destinations/antarctica/antarctica-the-polar-circle-and-beyond/,2019-01-30,20 Days,9499 €,,9499 €,10227 €,12411 €
"Discover Antarctica, Patagonia and the Chilean Fjords - Northbound",CENAMANT1904,MS Roald Amundsen,https://www.hurtigruten.com/destinations/antarctica/discover-antarctica-patagonia-and-the-chilean-fjords-northbound/,2019-03-07,20 Days,8861 €,,8861 €,10334 €,11884 €
Adventure  to Antarctica - Highlights of the Frozen Continent,CENMSANT1901,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/adventure-to-antarctica-highlights-of-the-frozen-continent/,2019-01-02,13 Days,5000 €,5000 €,5112 €,5657 €,6787 €
"Antarctica, the Polar Circle and Beyond",CENAMANT1901,MS Roald Amundsen,https://www.hurtigruten.com/destinations/antarctica/antarctica-the-polar-circle-and-beyond/,2019-01-12,20 Days,9499 €,,9499 €,10227 €,12411 €
Adventure  to Antarctica - Highlights of the Frozen Continent,CENMSANT1802,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/adventure-to-antarctica-highlights-of-the-frozen-continent/,2018-11-06,13 Days,5000 €,5000 €,5112 €,5657 €,6787 €
Adventure the Chilean Fjords and Antarctica ,CENMSANT1702,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/adventure-to-the-chilean-fjords-and-antarctica/,2017-11-07,15 Days,5338 €,5338 €,5534 €,6138 €,7383 €
Adventure  to Antarctica - Highlights of the Frozen Continent,CENMSANT1803,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/adventure-to-antarctica-highlights-of-the-frozen-continent/,2018-11-17,13 Days,5000 €,5000 €,5112 €,5657 €,6787 €
Adventure the Chilean Fjords and Antarctica ,CENMSANT1702,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/adventure-to-the-chilean-fjords-and-antarctica/,2017-11-20,15 Days,5338 €,5338 €,5534 €,,11219 €
"Explore the South Atlantic, Antarctica and Patagonia",CENMSANT1701,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/explore-the-south-atlantic-antarctica-and-patagonia/,2017-10-22,18 Days,6346 €,6346 €,6680 €,7493 €,11624 €
"Explore Antarctica, the Falklands and the Chilean Fjords",CENAMANT1805,MS Roald Amundsen,https://www.hurtigruten.com/destinations/antarctica/explore-antarctica-the-falklands-and-the-chilean-fjords/,2018-12-27,18 Days,12476 €,,,12476 €,13692 €
Adventure  to Antarctica - Highlights of the Frozen Continent,CENMSANT1904,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/adventure-to-antarctica-highlights-of-the-frozen-continent/,2019-02-04,13 Days,5000 €,5000 €,5112 €,5657 €,6787 €
Adventure  to Antarctica - Highlights of the Frozen Continent,CENMSANT1805,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/adventure-to-antarctica-highlights-of-the-frozen-continent/,2018-12-09,13 Days,5000 €,5000 €,5112 €,5657 €,6787 €
"Explore Antarctica, the Falklands and the Chilean Fjords",CENAMANT1802,MS Roald Amundsen,https://www.hurtigruten.com/destinations/antarctica/explore-antarctica-the-falklands-and-the-chilean-fjords/,2018-11-09,18 Days,9233 €,,9233 €,12476 €,13692 €
"Explore Antarctica, the Falklands and the Chilean Fjords",CENAMANT1804,MS Roald Amundsen,https://www.hurtigruten.com/destinations/antarctica/explore-antarctica-the-falklands-and-the-chilean-fjords/,2018-12-11,18 Days,9931 €,,9931 €,11845 €,12994 €
"Explore Antarctica, the Falklands and the Chilean Fjords",CENAMANT1803,MS Roald Amundsen,https://www.hurtigruten.com/destinations/antarctica/explore-antarctica-the-falklands-and-the-chilean-fjords/,2018-11-25,18 Days,10138 €,,10138 €,12098 €,12489 €
Adventure  to Antarctica - Highlights of the Frozen Continent,CENMSANT1902,MS Midnatsol,https://www.hurtigruten.com/destinations/antarctica/adventure-to-antarctica-highlights-of-the-frozen-continent/,2019-01-13,13 Days,5000 €,5000 €,5112 €,5657 €,6787 €
